2024-12-16 12:53:55,827 - Training started for model: resnet18
2024-12-16 12:59:08,614 - Epoch 34/100, Train Loss: 0.0253, Train Acc: 0.9780, Train F1: 0.9910 Test Loss: 3.3791, Test Acc: 0.3036, Test F1: 0.2854
2024-12-16 12:59:18,951 - Epoch 35/100, Train Loss: 0.0214, Train Acc: 0.9780, Train F1: 0.9912 Test Loss: 3.4109, Test Acc: 0.3274, Test F1: 0.3206
2024-12-16 12:59:27,868 - Epoch 36/100, Train Loss: 0.0187, Train Acc: 0.9797, Train F1: 0.9928 Test Loss: 3.4508, Test Acc: 0.3155, Test F1: 0.3041
2024-12-16 12:59:35,737 - Epoch 37/100, Train Loss: 0.0204, Train Acc: 0.9780, Train F1: 0.9911 Test Loss: 3.3698, Test Acc: 0.3155, Test F1: 0.3113
2024-12-16 12:59:43,555 - Epoch 38/100, Train Loss: 0.0190, Train Acc: 0.9806, Train F1: 0.9938 Test Loss: 3.3868, Test Acc: 0.3333, Test F1: 0.3295
2024-12-16 12:59:51,802 - Epoch 39/100, Train Loss: 0.0203, Train Acc: 0.9771, Train F1: 0.9901 Test Loss: 3.3921, Test Acc: 0.3214, Test F1: 0.3186
2024-12-16 12:59:59,808 - Epoch 40/100, Train Loss: 0.0191, Train Acc: 0.9771, Train F1: 0.9901 Test Loss: 3.3713, Test Acc: 0.3333, Test F1: 0.3082
2024-12-16 13:00:10,135 - Epoch 41/100, Train Loss: 0.0192, Train Acc: 0.9780, Train F1: 0.9911 Test Loss: 3.3593, Test Acc: 0.3036, Test F1: 0.2784
2024-12-16 13:00:20,433 - Epoch 42/100, Train Loss: 0.0181, Train Acc: 0.9789, Train F1: 0.9920 Test Loss: 3.3636, Test Acc: 0.3036, Test F1: 0.2792
2024-12-16 13:00:30,711 - Epoch 43/100, Train Loss: 0.0162, Train Acc: 0.9780, Train F1: 0.9910 Test Loss: 3.3993, Test Acc: 0.3274, Test F1: 0.3063
2024-12-16 13:00:41,573 - Epoch 44/100, Train Loss: 0.0185, Train Acc: 0.9797, Train F1: 0.9928 Test Loss: 3.5507, Test Acc: 0.3095, Test F1: 0.2842
2024-12-16 13:00:52,503 - Epoch 45/100, Train Loss: 0.0182, Train Acc: 0.9806, Train F1: 0.9937 Test Loss: 3.3178, Test Acc: 0.3571, Test F1: 0.3458
2024-12-16 13:01:00,356 - Epoch 46/100, Train Loss: 0.0168, Train Acc: 0.9780, Train F1: 0.9910 Test Loss: 3.2725, Test Acc: 0.3393, Test F1: 0.3257
2024-12-16 13:01:08,140 - Epoch 47/100, Train Loss: 0.0209, Train Acc: 0.9771, Train F1: 0.9902 Test Loss: 3.4454, Test Acc: 0.3333, Test F1: 0.3144
2024-12-16 13:01:17,717 - Epoch 48/100, Train Loss: 0.0168, Train Acc: 0.9789, Train F1: 0.9919 Test Loss: 3.4009, Test Acc: 0.2976, Test F1: 0.2827
2024-12-16 13:01:25,800 - Epoch 49/100, Train Loss: 0.0208, Train Acc: 0.9789, Train F1: 0.9918 Test Loss: 3.4711, Test Acc: 0.3155, Test F1: 0.3078
2024-12-16 13:01:33,783 - Epoch 50/100, Train Loss: 0.0187, Train Acc: 0.9789, Train F1: 0.9919 Test Loss: 3.3399, Test Acc: 0.3333, Test F1: 0.3220
2024-12-16 13:01:41,653 - Epoch 51/100, Train Loss: 0.0192, Train Acc: 0.9771, Train F1: 0.9901 Test Loss: 3.3277, Test Acc: 0.3333, Test F1: 0.3173
2024-12-16 13:01:49,718 - Epoch 52/100, Train Loss: 0.0164, Train Acc: 0.9780, Train F1: 0.9911 Test Loss: 3.4041, Test Acc: 0.3274, Test F1: 0.3039
2024-12-16 13:01:57,687 - Epoch 53/100, Train Loss: 0.0174, Train Acc: 0.9753, Train F1: 0.9883 Test Loss: 3.4319, Test Acc: 0.3036, Test F1: 0.2917
2024-12-16 13:02:05,669 - Epoch 54/100, Train Loss: 0.0153, Train Acc: 0.9789, Train F1: 0.9919 Test Loss: 3.2800, Test Acc: 0.3393, Test F1: 0.3092
2024-12-16 13:02:13,961 - Epoch 55/100, Train Loss: 0.0162, Train Acc: 0.9797, Train F1: 0.9928 Test Loss: 3.4130, Test Acc: 0.3155, Test F1: 0.3038
2024-12-16 13:02:22,029 - Epoch 56/100, Train Loss: 0.0166, Train Acc: 0.9780, Train F1: 0.9912 Test Loss: 3.4959, Test Acc: 0.3095, Test F1: 0.2903
2024-12-16 13:02:29,843 - Epoch 57/100, Train Loss: 0.0175, Train Acc: 0.9789, Train F1: 0.9918 Test Loss: 3.5286, Test Acc: 0.3333, Test F1: 0.3209
2024-12-16 13:02:37,825 - Epoch 58/100, Train Loss: 0.0164, Train Acc: 0.9806, Train F1: 0.9938 Test Loss: 3.4757, Test Acc: 0.2857, Test F1: 0.2752
2024-12-16 13:02:45,880 - Epoch 59/100, Train Loss: 0.0182, Train Acc: 0.9789, Train F1: 0.9917 Test Loss: 3.3363, Test Acc: 0.3452, Test F1: 0.3385
2024-12-16 13:02:53,800 - Epoch 60/100, Train Loss: 0.0170, Train Acc: 0.9789, Train F1: 0.9920 Test Loss: 3.4413, Test Acc: 0.3214, Test F1: 0.3014
2024-12-16 13:03:02,615 - Epoch 61/100, Train Loss: 0.0158, Train Acc: 0.9789, Train F1: 0.9921 Test Loss: 3.4282, Test Acc: 0.3155, Test F1: 0.2925
2024-12-16 13:03:12,474 - Epoch 62/100, Train Loss: 0.0171, Train Acc: 0.9789, Train F1: 0.9919 Test Loss: 3.4677, Test Acc: 0.3274, Test F1: 0.3159
2024-12-16 13:03:21,220 - Epoch 63/100, Train Loss: 0.0134, Train Acc: 0.9815, Train F1: 0.9946 Test Loss: 3.4639, Test Acc: 0.3274, Test F1: 0.3090
2024-12-16 13:03:29,136 - Epoch 64/100, Train Loss: 0.0181, Train Acc: 0.9780, Train F1: 0.9910 Test Loss: 3.3330, Test Acc: 0.3274, Test F1: 0.3084
2024-12-16 13:03:37,286 - Epoch 65/100, Train Loss: 0.0142, Train Acc: 0.9780, Train F1: 0.9911 Test Loss: 3.3428, Test Acc: 0.3333, Test F1: 0.3131
2024-12-16 13:03:47,095 - Epoch 66/100, Train Loss: 0.0148, Train Acc: 0.9797, Train F1: 0.9928 Test Loss: 3.3185, Test Acc: 0.3036, Test F1: 0.2812
2024-12-16 13:03:55,183 - Epoch 67/100, Train Loss: 0.0145, Train Acc: 0.9789, Train F1: 0.9921 Test Loss: 3.4116, Test Acc: 0.2976, Test F1: 0.2808
2024-12-16 13:04:03,182 - Epoch 68/100, Train Loss: 0.0157, Train Acc: 0.9789, Train F1: 0.9920 Test Loss: 3.6105, Test Acc: 0.3095, Test F1: 0.2992
2024-12-16 13:04:11,287 - Epoch 69/100, Train Loss: 0.0163, Train Acc: 0.9789, Train F1: 0.9921 Test Loss: 3.4407, Test Acc: 0.3155, Test F1: 0.2968
2024-12-16 13:04:21,556 - Epoch 70/100, Train Loss: 0.0177, Train Acc: 0.9789, Train F1: 0.9920 Test Loss: 3.4792, Test Acc: 0.2976, Test F1: 0.2671
2024-12-16 13:04:29,499 - Epoch 71/100, Train Loss: 0.0198, Train Acc: 0.9789, Train F1: 0.9919 Test Loss: 3.7059, Test Acc: 0.2917, Test F1: 0.2903
2024-12-16 13:04:37,807 - Epoch 72/100, Train Loss: 0.0190, Train Acc: 0.9771, Train F1: 0.9902 Test Loss: 3.4988, Test Acc: 0.3393, Test F1: 0.3076
2024-12-16 13:04:48,166 - Epoch 73/100, Train Loss: 0.0155, Train Acc: 0.9797, Train F1: 0.9929 Test Loss: 3.3453, Test Acc: 0.3393, Test F1: 0.3256
2024-12-16 13:04:59,263 - Epoch 74/100, Train Loss: 0.0140, Train Acc: 0.9789, Train F1: 0.9919 Test Loss: 3.3532, Test Acc: 0.3512, Test F1: 0.3374
2024-12-16 13:05:07,116 - Epoch 75/100, Train Loss: 0.0159, Train Acc: 0.9797, Train F1: 0.9929 Test Loss: 3.3858, Test Acc: 0.3274, Test F1: 0.3057
